,category,titles,pageids
304,Business & Industrial>Business Services>Writing & Editing Services,"['Editing', 'Content editing', 'Creative writing', 'Copy editing', 'Writing center', 'Technical writing', 'History of writing', 'Writing', 'IBM Press', 'Language industry', 'EditPlus', 'Ghostwriter', 'Freelancer', 'Copywriting', 'Remix service', 'Language professional', 'DirectShow', 'Proofreading', 'Text editor', 'Screenwriting']","['53753224', '343323', '1728077', '1039873', '700218', '11364983', '167897', '484030', '238777', '3697831', '14987203', '22381158', '38532131', '234637', '5949359', '1137997', '1219301', '30310', '32977', '1235779']"
305,Business & Industrial>Chemicals Industry,"['Chemical plant', 'Speciality chemicals', 'Fine chemical', 'Chemical engineer', 'Chemical process', 'Institution of Chemical Engineers', 'Commodity chemicals', 'Heavy industry', 'Plastics industry', 'Textile industry', 'Chemical substance', 'Chemical plant cost indexes', 'Outline of industry', 'Chemical weapon', 'Reaction intermediate', 'Indian Institute of Chemical Engineers', 'Chemical change', 'Chemical reaction', 'Environmental impact of the chemical industry in Sarnia', 'Chemical patent']","['1326645', '431310', '37712', '1648915', '35761226', '3320853', '6271', '9722260', '27179600', '28926494', '35448722', '3694845', '1608478', '31091347', '10502881', '6587138', '11169849', '6197450', '37805597', '1943311']"
306,Business & Industrial>Chemicals Industry>Agrochemicals,"['Agrochemical', 'Research chemical', 'Diisopropyl tartrate', 'Aarti Industries', 'Tributylamine', 'C6H3Cl2NO2', 'Chloroiodomethane', 'Diphenylmethanol', 'Prill', 'Horticulture industry', 'European Soil Bureau Network', 'Hydroxylammonium chloride', 'Jury Utkin', 'Trifluoromethylation', 'Hydrofluorocarbon', 'Pan Britannica Industries', 'Dicyclohexylamine', 'Propargyl bromide', 'Fine chemical', 'Tetrabromomethane']","['29040142', '1431156', '24375787', '11059402', '44112420', '2819455', '3317631', '7422370', '3694845', '51307532', '855555', '13049835', '25396560', '27729217', '262863', '37377366', '575912', '2375346', '36816534', '35862383']"
307,Business & Industrial>Chemicals Industry>Cleaning Agents,"['Cleaning agent', 'Cleaning', 'Environmental impact of cleaning agents', 'Parts cleaning', 'Cisco NAC Appliance', 'Carpet cleaning', 'Clean agent FS 49 C2', 'Computer maintenance', 'Floor cleaning', 'Clean', 'Sodium gluconate', 'Cleaning validation', 'Laundry detergent', 'Release agent', 'Alkylating antineoplastic agent', 'Carbon tetrachloride', 'Sodium lauroamphoacetate', 'Sulfamic acid', 'Cleaning symbiosis', 'Sodium metabisulfite']","['9937191', '241047', '3919574', '4327261', '256617', '33829553', '253875', '14702037', '34694334', '8301902', '24366615', '28998489', '18151616', '2676476', '9421673', '6750758', '14263798', '6819832', '979272', '1945917']"
308,Business & Industrial>Chemicals Industry>Coatings & Adhesives,"['Coating', 'Adhesive', 'Adhesive bonding', 'Valco Melton', 'Chameleon coating', 'Biofouling', 'Primer', 'Vinyl coated polyester', 'Powder coating on glass', 'Masking tape', 'Anechoic tile', 'Release liner', 'Formvar', 'Bovine submaxillary mucin coatings', 'Paint adhesion testing', 'Fabric structure', 'DIC Corporation', 'Thermosetting polymer', 'Covestro', 'Moisture cure polyurethane']","['2396', '14570219', '2590043', '1413411', '39597456', '16837442', '1897245', '6536261', '41955853', '17856623', '43270387', '1139221', '36380891', '20976615', '40977707', '722588', '17807461', '321827', '48537164', '4649844']"
309,Business & Industrial>Chemicals Industry>Dyes & Pigments,"['Pigment', 'Dye', 'Azo compound', 'Biological pigment', 'Dibromoanthanthrone', 'Natural dye', 'Phthalocyanine', 'Glossary of dyeing terms', 'Lightfastness', 'Indigo dye', 'Polymethine', 'Wood stain', 'Naphthol Red', 'Atramentum', 'Diketopyrrolopyrrole dye', 'Reseda luteola', 'Hair coloring', 'Phthalocyanine Green G', 'Cochineal', 'Betalain']","['14037951', '1114402', '13441593', '6021465', '18952719', '51144168', '50958436', '8179', '30490894', '439075', '50363', '25832512', '4165624', '30378542', '1156511', '3811267', '49598', '8676520', '26373354', '1750229']"
310,Business & Industrial>Chemicals Industry>Plastics & Polymers,"['Polymer banknote', 'Thermosetting polymer', 'Polymer', 'Plastic recycling', 'Carbon fiber reinforced polymer', 'Plasticizer', 'Polymer clay', 'Plastic welding', 'Crystallization of polymers', 'Plastic optical fiber', 'Thermoplastic', 'Lithium polymer battery', 'Polymer solution', 'Polypropylene', 'Polymer concrete', 'Polymer architecture', 'Vinyl polymer', 'Plastics engineering', 'Plastic bottle', 'Polymer solution casting']","['23809352', '27535205', '201716', '11614796', '3223977', '1999119', '845000', '753475', '1548441', '23001', '34546086', '1403932', '760694', '10052417', '53181502', '40944126', '201689', '182444', '321827', '2364526']"
311,Business & Industrial>Construction & Maintenance,"['Construction', 'Bureau of Construction and Repair', 'Colas Group', 'Ahmedabad Municipal Corporation', 'Construction and management simulation', 'Construction engineering', 'Construction management', 'Vadodara Municipal Corporation', 'Design technology', 'Software construction', 'Building engineer', 'Colas Ltd', 'Civil engineering', 'Unit construction', 'Dolph Briscoe Unit', 'Construction Specifications Institute', 'Facility management', 'ULMA Construction', 'Topology control', 'Romstrade']","['5100712', '12047634', '2597768', '5762', '32435447', '32894433', '239038', '1182425', '14166739', '50705', '2026112', '13315514', '41625245', '474315', '28702282', '33408418', '22122235', '54190392', '5958446', '12166896']"
312,Business & Industrial>Construction & Maintenance>Building Materials & Supplies,"['Building material', 'Supply chain', 'Supply chain management', 'Supply network', 'Building insulation materials', 'Materials management', 'Hughes Supply', 'Supply chain network', 'Raw material', 'Green building', 'Water supply network', 'Building automation', 'Price elasticity of supply', 'Building code', 'Hybrid material', 'Material culture of the Manasir', 'Demand chain management', 'Boat building', 'Uninterruptible power supply', 'Logistics']","['499365', '2893444', '537481', '8855042', '464779', '4159592', '1344439', '1792478', '32130816', '77547', '2001884', '8264157', '525890', '216167', '186493', '27995', '11183756', '2910429', '41834', '1249122']"
313,Business & Industrial>Construction & Maintenance>Building Materials & Supplies>Nails Screws & Fasteners,"['Screw', 'Fastener', 'Butt joint', 'Wall plug', 'Spike', 'Stud finder', 'Toenailing', 'Rivet', 'Woodworking joints', 'Dowel', 'Tree house', 'Spontaneous glass breakage', 'Drywall', 'Window shutter hardware', 'Bush carpentry', 'Cement board', 'Mechanical plating', 'Upholstery', 'Piping and plumbing fitting', 'Pyrotechnics']","['27574283', '2784287', '7606557', '2850670', '331784', '877127', '21022342', '6871841', '187584', '509033', '20691673', '225580', '10323066', '5303072', '25540633', '612238', '664462', '6795476', '15880710', '113266']"
314,Business & Industrial>Construction & Maintenance>Building Materials & Supplies>Plumbing Fixtures & Equipment,"['Plumbing', 'Backflow prevention device', 'Damage controlman', 'Outline of construction', 'Trap', 'Marmon Group', 'Thread seal tape', 'Power assembly', 'Public toilet', 'Grinnell Mechanical Products', 'Design assist', 'Noise control', 'Energy Conservation Program for Consumer Products', 'Toilet', 'Dropped ceiling', 'Skoolies', 'Butyl rubber', 'Home inspection', 'Main Interior Building', 'Galvanic corrosion']","['767292', '2133681', '6760080', '26518940', '2403966', '38986279', '44293086', '32171920', '5152971', '25197079', '18355636', '3550569', '8704220', '43982', '36657819', '1053470', '3988285', '5625345', '19167644', '92322']"
315,Business & Industrial>Construction & Maintenance>Building Materials & Supplies>Wood & Plastics,"['Plastic arts', 'Plastic', 'Plastic lumber', 'Plastic cup', 'Wood putty', 'Wood flooring', 'Wood', 'Pallet', 'Wood flour', 'Engineered wood', 'Cutting board', 'Composite lumber', 'Toothpick', 'Gallery of Contemporary Sculpture and Plastic Arts', 'Lamination', 'Wood preservation', 'Wood glue', 'Wood branding', 'Plastic model', 'Crate']","['35933999', '1010583', '554516', '276504', '27720272', '577817', '868594', '26145195', '423343', '10714509', '6420379', '585358', '695713', '33550', '15608498', '9095248', '6089536', '3859153', '481484', '4344211']"
316,Business & Industrial>Construction & Maintenance>Civil Engineering,"['Civil engineering', 'Chartered Institution of Civil Engineering Surveyors', 'Civil engineering softwares', 'Index of civil engineering articles', 'Construction engineering', 'Civil Engineer Corps', 'Railway engineering', 'UNSW Faculty of Engineering', 'Institution of Civil Engineers', 'Structural engineering', 'NUST Institute of Civil Engineering', 'Environmental engineering science', 'Civil', 'Municipal or urban engineering', 'Engineering economics', 'Environmental engineering', 'Hydraulic engineering', 'Gokongwei College of Engineering', 'Geotechnical engineering', 'Indian Railway Institute of Civil Engineering']","['19998165', '1288112', '7197000', '5762', '14121747', '50705', '7977203', '50702', '21377293', '12306', '6824523', '521843', '13318264', '5415161', '354320', '1905304', '36588388', '5235231', '45829', '18069720']"
317,Business & Industrial>Construction & Maintenance>Construction Consulting & Contracting,"['Information technology consulting', 'Turner Construction', 'General contractor', 'Lean construction', 'Quantity surveyor', 'Shimizu Corporation', 'Veidekke', 'Shop drawing', 'Morrison Hershfield', 'Joint Contracts Tribunal', 'National Institute of Construction Management and Research', 'Theatre consultant', 'Wind power industry', 'Aronson LLC', 'SMEC Holdings', 'Building inspection', 'Aggregate Industries', 'AgcXML', 'Dispute board', 'Civil engineering']","['21612644', '9627093', '15948337', '6144367', '5762', '21719883', '1315070', '2514855', '4486720', '10098365', '29306843', '43296993', '1638889', '37076709', '11387665', '9722901', '4558038', '9525863', '8030215', '17877275']"
318,Business & Industrial>Construction & Maintenance>Urban & Regional Planning,"['Urban planning', 'Urban planning education', 'Regional planning', 'Urban planner', 'Theories of urban planning', 'Technical aspects of urban planning', 'History of urban planning', 'Index of urban planning articles', 'Spatial planning', 'Association of European Schools of Planning', 'USC Sol Price School of Public Policy', 'Urban design', 'Transportation planning', 'Online land planning', 'Urban and Regional Information Systems Association', 'Planning cultures', 'Journal of Regional Science', 'Environmental planning', 'Communicative planning', 'Planning']","['8149813', '52229069', '3909826', '46187086', '8024980', '12936910', '19047010', '378010', '52095317', '66774', '860693', '46187159', '45346', '75472', '23933159', '35767706', '50345', '21502793', '46212943', '30875345']"
319,Business & Industrial>Energy & Utilities,"['Energy and Utility Skills', 'Electric utility', 'Public utility', 'Utility cooperative', 'FirstEnergy', 'Energy management software', 'Progress Energy Inc', 'Energy law', 'Energy industry', 'Energy storage', 'Utility bill audit', 'Utility meter', 'Grid energy storage', 'National Association of Regulatory Utility Commissioners', 'Sustainable energy', 'Energy efficiency implementation', 'Solar Renewable Energy Certificate', 'Energy planning', 'Touchstone Energy', 'GAMA Enerji']","['27642888', '9577836', '27746978', '2935251', '18668456', '22807593', '9250002', '24130', '2215683', '12762147', '1646838', '25209089', '906776', '171136', '22878799', '1055890', '2749300', '31069507', '663488', '5569748']"
320,Business & Industrial>Energy & Utilities>Electricity,"['Electricity', 'Electricity generation', 'Electricity pricing', 'Electricity retailing', 'Office of Gas and Electricity Markets', 'Static electricity', 'Cost of electricity by source', 'Electricity on Shabbat', 'Electricity market', 'Independent Electricity System Operator', 'Atmospheric electricity', 'Electricity Regulatory Authority', 'Electric energy consumption', 'European Network of Transmission System Operators for Electricity', 'Mains electricity', 'Environmental impact of electricity generation', 'Assistant Secretary of Energy for Electricity Delivery and Energy Reliability', 'Electricity delivery', 'History of electromagnetic theory', 'Electricity price area']","['13428432', '2222635', '24400357', '6168349', '9550', '20490893', '326545', '9540', '215909', '17447118', '48825905', '17355007', '212243', '623774', '8102919', '5951576', '1100795', '175959', '2014309', '200136']"
321,Business & Industrial>Energy & Utilities>Nuclear Energy,"['Nuclear energy', 'Nuclear energy policy', 'Nuclear power debate', 'Nuclear power', 'Nuclear energy policy by country', 'Nuclear binding energy', 'Nuclear Institute', 'International Framework for Nuclear Energy Cooperation', 'Binding energy', 'Nuclear power proposed as renewable energy', 'Nuclear power by country', 'Nuclear power plant', 'Nuclear reaction', 'World Nuclear Association', 'Energy law', 'Energy technology', 'Philippine Nuclear Research Institute', 'Atomic energy', 'Potential energy', 'Energy development']","['177089', '125769', '533487', '18668456', '20122770', '4017776', '23638156', '3043836', '22161', '2459254', '28297350', '22153', '5534701', '19216184', '207347', '23210252', '460322', '54497735', '23703', '5592497']"
322,Business & Industrial>Energy & Utilities>Oil & Gas,"['GE Oil and Gas', 'Oil and gas field', 'Giant oil and gas fields', 'Oil well', 'Gas oil', 'Oil platform', 'Oil and gas industry in Myanmar', 'Hydrocarbon exploration', 'Big Oil', 'Natural gas field', 'Petroleum reservoir', 'Petroleum industry', 'Gas flare', 'Tight oil', 'Oil and gas agreement', 'Peak gas', 'Nobel Oil Group', 'Peak oil', 'Indian Oil Corporation', 'Pipeline transport']","['6099285', '47720590', '2495757', '1810979', '14680261', '614302', '47428211', '1054996', '43362811', '18571468', '2969465', '46808515', '163806', '198570', '11960409', '849508', '994887', '2910801', '51111', '31646712']"
323,Business & Industrial>Energy & Utilities>Renewable & Alternative Energy,"['Renewable energy', 'Alternative energy', 'Alternative energy indexes', 'Renewable energy commercialization', 'Renewable Energy Payments', 'Renewable energy in developing countries', 'Solar Renewable Energy Certificate', 'Energy supply', 'Nuclear power proposed as renewable energy', 'Energy law', 'Renewable energy debate', 'Alternative fuel', 'Energy development', 'Renewable resource', 'World Energy Engineering Congress', 'Sustainable energy', 'Energy technology', 'Renewable heat', 'Renewable fuels', 'Renewable Energy Programme']","['193939', '16283221', '626455', '533487', '18668456', '5260053', '20122770', '23210252', '18990381', '43193879', '25784', '10418624', '27248938', '17618723', '6187740', '4432542', '210537', '22878799', '1055890', '29294040']"
324,Business & Industrial>Energy & Utilities>Waste Management,"['Waste management', 'Waste management law', 'Waste', 'Waste hierarchy', 'Radioactive waste', 'Waste minimisation', 'Municipal solid waste', 'Biomedical waste', 'Waste collection', 'Zero waste', 'Waste sorting', 'Waste characterisation', 'Biodegradable waste', 'Green waste', 'Construction waste', 'Commercial waste', 'Electronic waste', 'Household hazardous waste', 'Waste Management Remixes', 'Waste Atlas']","['6043426', '18626487', '6328075', '6457329', '3887690', '6042831', '13873019', '2149148', '37257', '20646971', '44037839', '27597064', '6457926', '3411618', '1533268', '210555', '25822790', '5149747', '6529781', '1255961']"
325,Business & Industrial>Energy & Utilities>Waste Management>Recycling,"['Plastic recycling', 'Computer recycling', 'Recycling bin', 'Battery recycling', 'Timber recycling', 'Tire recycling', 'Paint recycling', 'Cotton recycling', 'PET bottle recycling', 'Vehicle recycling', 'Appliance recycling', 'Glass recycling', 'Aluminium recycling', 'Recycling codes', 'Textile recycling', 'Moisture recycling', 'Oil recycling', 'Nutrient cycle', 'Concrete recycling', 'Aluminium dross recycling']","['33542161', '5443767', '45700784', '13207354', '1664937', '3355656', '33736529', '3053725', '3560122', '32086658', '35675922', '922636', '22886704', '1999119', '1953261', '10699036', '10193761', '10448817', '9890868', '16119512']"
326,Business & Industrial>Energy & Utilities>Water Supply & Treatment,"['Water treatment', 'Water supply', 'Water supply network', 'History of water supply and sanitation', 'Wastewater treatment', 'Tap water', 'London water supply infrastructure', 'Water industry', 'Bangalore Water Supply and Sewerage Board', 'Water purification', 'Reclaimed water', 'History of municipal treatment of drinking water', 'Water supply and women in developing countries', 'Northumbrian Water', 'Water resources', 'Greywater', 'Water chlorination', 'Boiler water', 'Water scarcity', 'Water Environment Federation']","['4397110', '4066812', '216193', '41730887', '30411167', '10233495', '30741589', '1018367', '239918', '588004', '2620577', '38840679', '1338601', '214701', '18581463', '15380061', '684928', '35294940', '1249122', '239926']"
327,Business & Industrial>Hospitality Industry,"['Hospitality industry', 'Hospitality management studies', 'Hospitality', 'Hospitality service', 'Hospitality law', 'Confederation of Tourism and Hospitality', 'Apeejay Institute of Hospitality', 'Hotelschool The Hague', 'Outline of industry', 'Travel technology', 'Hilton College of Hotel and Restaurant Management', 'Dedman School of Hospitality', 'The Caterer', 'Consulting firm', 'Industry', 'Boutique hotel', 'Apple Silentype', 'Blue Mountains International Hotel Management School', 'ChannelGain', 'Boutique Design']","['49412770', '4411008', '25862422', '16889066', '1630385', '32613108', '30654528', '1804464', '21380664', '12705393', '2103537', '2383439', '23944712', '1611915', '149634', '11757740', '14543', '6587138', '13110257', '7779220']"
328,Business & Industrial>Hospitality Industry>Event Planning,"['Event management', 'Library event planning', 'Planning', 'Event scheduling', 'Media event', 'Automated planning and scheduling', 'Family planning', 'Advanced planning and scheduling', 'National Special Security Event', 'Event management software', 'Theories of urban planning', 'Environmental planning', 'Business continuity planning', 'Enterprise architecture planning', 'Integrated master plan', 'Disaster recovery plan', 'Sustainable event management', 'Passage planning', 'Planned Parenthood', 'Planning Magazine']","['3551042', '1505641', '91099', '6309764', '20635635', '3909826', '3155871', '18515583', '12154094', '231085', '13884766', '24942333', '5329685', '873557', '9881335', '503193', '378010', '13992499', '27852663', '45346']"
329,Business & Industrial>Hospitality Industry>Food Service,"['Food booth', 'Fast food restaurant', 'Food industry', 'Online food ordering', 'Presidential Food Service', 'Food safety', 'Food', 'Labatt Food Service', 'Food security', 'Fast food', 'Food rescue', 'Child and Adult Care Food Program', 'Food engineering', 'Food Service Management Institute', 'Food marketing', 'Under Secretary of Agriculture for Food Safety', 'Street food', 'Food Network Star', 'Food storage', 'Food preservation']","['7213498', '360101', '54923', '10646', '2035825', '23817453', '11603393', '1515853', '2437974', '8788317', '10834', '9958022', '8053588', '216361', '292032', '45636578', '12056413', '15160637', '1795705', '5444326']"
330,Business & Industrial>Hospitality Industry>Food Service>Restaurant Supply,"['BMMI', 'Foodservice', 'Menu', 'Logistics', 'Cuisine of Omaha', 'Tsukiji fish market', 'Fast food', 'Soda gun', 'Sous chef', 'Market price', 'Lead time', 'Cochrane Street', 'Server', 'Savored', 'Vittoria Coffee', 'Compass Group', 'Waffle House Index', 'Garde manger', 'Expeditor', 'Carnegie Deli']","['26052025', '4109779', '4015918', '1734843', '13008366', '23279720', '360101', '1728007', '3495688', '2014402', '77547', '72902', '406264', '34339859', '4038708', '3054811', '486528', '525323', '32259418', '32966695']"
331,Business & Industrial>Industrial Materials & Equipment,"['Industrial technology', 'Material handling', 'SEMI', 'Industrial engineering', 'Materials science', 'Industrial and production engineering', 'Ingersoll Rand Industrial Technologies', 'European Materials Handling Federation', 'Industrial arts', 'Industrial stormwater', 'Electrical equipment in hazardous areas', 'Industrial gas', 'Personal protective equipment', 'Industrial dryer', 'Materials management', 'Industrial railway', 'Sammons Enterprises', 'Occupational noise', 'Gyratory equipment', 'Industrial design right']","['2542454', '34433110', '40799331', '43282531', '2104181', '225179', '39648645', '23535218', '2861157', '1474043', '47875434', '7796225', '32093355', '15230235', '8264157', '19622', '763780', '55530', '1869214', '21494447']"
332,Business & Industrial>Industrial Materials & Equipment>Fluid Handling,"['Fluid animation', 'Fluid queue', 'Cutting fluid', 'Fluidization', 'Computational fluid dynamics', 'Hypervolemia', 'Ingersoll Rand Industrial Technologies', 'Automobile handling', 'Graco', 'Diesel exhaust fluid', 'Coal preparation plant', 'DMF', 'Pipeline', 'Valco Melton', 'Magnetohydrodynamics', 'Pipecutter', 'Microfluidics', 'Isolation valve', 'Vibratory fluidized bed', 'Universal precautions']","['779651', '5564661', '305924', '266412', '1481877', '2368411', '8828688', '33791981', '1149065', '11132523', '3419916', '32093355', '34874358', '40310', '18906', '2328255', '23475', '32145', '48537164', '40798796']"
333,Business & Industrial>Industrial Materials & Equipment>Fluid Handling>Valves Hoses & Fittings,"['Fishing techniques', 'Fishing net', 'Catskill Fly Fishing Center and Museum', 'Fishing in Cornwall', 'Jarden', 'Sustainable fishery', 'Placencia', 'The Wheel on the School', 'Fisheries College and Research Institute', 'Makassar people', 'Scofield Reservoir', 'Lake Caliraya', 'Marine conservation activism', 'Hardware store', 'Shark sanctuary', 'Yelloweye rockfish', 'Humphead wrasse', 'Lake Texoma', 'Lake Balaton', 'Ethnoichthyology']","['15303681', '34525947', '37839013', '24362017', '1137395', '13089116', '857902', '980126', '2930090', '18233', '2605395', '864142', '39240026', '10932926', '237841', '18520849', '24644173', '481277', '2750461', '25215767']"
334,Business & Industrial>Industrial Materials & Equipment>Generators,"['Generator', 'Electric generator', 'Signal generator', 'Magnetohydrodynamic generator', 'Diesel generator', 'Induction generator', 'Thermoelectric generator', 'Pseudorandom number generator', 'Linear congruential generator', 'Shunt generator', 'Homopolar generator', 'Clock generator', 'Pulse generator', 'Lagged Fibonacci generator', 'Character generator', 'Monotube steam generator', 'Explosively pumped flux compression generator', 'Impulse generator', 'Chemical oxygen generator', 'Electrostatic generator']","['1591228', '2297168', '379803', '3291660', '82330', '1573430', '237957', '166841', '3707609', '29160726', '9331066', '45619', '45527', '1502835', '29061881', '45524', '1201641', '18021554', '41927', '9209712']"
335,Business & Industrial>Industrial Materials & Equipment>Heavy Machinery,"['Heavy equipment', 'Heavy industry', 'Sumitomo Heavy Industries', 'Outline of industrial machinery', 'Agricultural machinery', 'Hyundai Heavy Industries', 'Zoomlion', 'Hitachi Construction Machinery', 'Mining machinery engineering', 'Agricultural machinery industry', 'Heavy metals', 'Machine industry', 'Hydraulic machinery', 'Atommash', 'Excavator controls', 'User interface', 'Hanatarash', 'Dimitrie Leonida metro station', 'Conscious parallelism', 'IHI Corporation']","['23672379', '44511538', '35703944', '2095029', '1650882', '14482131', '990093', '491658', '1608478', '46659847', '29565410', '1372353', '454249', '726388', '44362658', '40741218', '8515253', '9055760', '45249', '23725991']"
336,Business & Industrial>Manufacturing,"['Manufacturing', 'Manufacturing engineering', 'Lean manufacturing', 'Design for manufacturability', 'Manufacturing Consent', 'Manufacturing cost', 'Manufacturing execution system', 'Guitar manufacturing', 'Electronics manufacturing services', 'Process manufacturing', 'Flexible manufacturing system', 'Advanced manufacturing', 'Space manufacturing', 'Cellular manufacturing', 'Manufacturing Technologies Association', 'Mesoscale manufacturing', 'Manufacturing process management', 'Cloud manufacturing', 'Reconfigurable Manufacturing System', 'Boutique manufacturing']","['18159068', '18898191', '9515578', '32050260', '3497359', '3058053', '5167489', '26495212', '218445', '39388', '20549', '11136953', '30504788', '11200529', '20017952', '2971012', '49272814', '12199703', '2361092', '1780366']"
337,Business & Industrial>Manufacturing>Factory Automation,"['Automation', 'Factory automation infrastructure', 'Logistics automation', 'Office automation', 'Automation engineering', 'Inductive Automation', 'Process automation system', 'EFx Factory', 'Vehicular automation', 'Pharmacy automation', 'Profibus', 'IEEE Industrial Electronics Society', 'IEEE Robotics and Automation Society', 'Device Description Language', 'GE Industrial', 'Sugar refinery', 'Automation Master', 'Boutique manufacturing', 'Nashoba Brook Pencil Factory Site', 'Murata Machinery']","['173354', '41443440', '44455145', '18898191', '36114320', '8803642', '43154679', '3241124', '9553996', '22765540', '15410968', '475255', '3245052', '14909349', '5649998', '25798453', '2761423', '511213', '1423624', '5071866']"
338,Business & Industrial>Metals & Mining,"['Environmental impact of mining', 'Asteroid mining', 'Placer mining', 'Mining community', 'Mining engineering', 'Mining in the Upper Harz', 'Sandvik', 'Base metal', 'Sumitomo Group', 'Mining accident', 'Artisanal mining', 'Metal detector', 'Precious metal', 'Mining and metallurgy in medieval Europe', 'Navoi Mining and Metallurgy Combinat', 'Mountaintop removal mining', 'Silver mining', 'Zinc mining', 'Noble metal', 'Heavy metals']","['26285065', '1667490', '418809', '23754906', '46659847', '165015', '954550', '20254389', '21495640', '488361', '27190592', '1685995', '12896809', '161291', '293076', '180211', '479964', '6950022', '1142775', '36096747']"
339,Business & Industrial>Pharmaceuticals & Biotech,"['Clarivate Analytics', 'Ligand Pharmaceuticals', 'Almac', 'Teva Pharmaceutical Industries', 'AstridBio', 'Biolex', 'Diaphragm valve', 'Allergan', 'Academic clinical trial', 'Society for Biomolecular Sciences', 'General motion control', 'Citatuzumab bogatox', 'Medimix International', 'Life Sciences Foundation', 'Algorithme Pharma', 'Ivor Royston', 'Sartorius AG', 'EuropaBio', 'Truven Health Analytics', 'Biotechnology']","['2312281', '27721476', '48348949', '21456896', '29375846', '1631144', '4502', '19841585', '52768429', '6736828', '4205059', '29420999', '18816811', '33978666', '47247395', '12876568', '14479214', '43913461', '5460692', '11836324']"
340,Business & Industrial>Printing & Publishing,"['History of music publishing', 'Printing', 'Desktop publishing', 'Printing press', 'Associated University Presses', 'Fine press', 'Digital printing', 'History of printing', 'Color printing', 'Jostens', 'Galley proof', '3D publishing', 'Trafford Publishing', 'Variable data publishing', 'Database publishing', 'Prepress', 'Sino United Publishing', 'Academic publishing', 'Sun printing', 'Linocut']","['43475529', '324570', '22624633', '944047', '1500119', '54257', '507363', '10865355', '4161853', '4346392', '11012076', '11365245', '174254', '521181', '44723', '23295', '45634056', '1522562', '5162850', '23718280']"
341,Business & Industrial>Printing & Publishing>Document & Printing Services,"['Variable data printing', 'Printing', 'Document', 'Questioned document examination', 'Portable Document Format', 'Inkjet printing', 'Open XML Paper Specification', 'Document composition', 'False document', 'Adobe LiveCycle', 'Market requirements document', 'Advanced Function Presentation', 'Active Directory Rights Management Services', 'Banking BPO services', 'OpenDocument software', 'Product requirements document', 'Virtual printer', 'Print and mail outsourcing', 'Federal Depository Library Program', 'Sir Speedy']","['2953570', '7446332', '1770087', '28401929', '161228', '33687423', '11429', '930224', '50687', '23154862', '2800885', '2683413', '24077', '16828087', '44723', '1464875', '439293', '21938939', '1949450', '5934235']"
342,Business & Industrial>Printing & Publishing>Document & Printing Services>Business Cards & Stationary,"['Postal stationery', 'Stamped envelope', 'Christmas card', 'Visiting card', 'Rolodex', 'Trade card', 'Compliments slip', 'Operating cost', 'Hallmark Business Expressions', 'Office supplies', 'Thermographic printing', 'Tesco Lotus', 'Clintons', 'Copperplate Gothic', 'Debits and credits', 'Suzy Spafford', 'Myer', 'Registered mail', 'Keep Sunday Special', 'Envelope']","['170506', '8386892', '22264465', '2787822', '273279', '57260', '16357265', '3944892', '480183', '573016', '7501668', '216592', '422495', '914229', '318530', '3607173', '1701447', '11172408', '364696', '364699']"
343,Business & Industrial>Professional & Trade Associations,"['Association of Software Professionals', 'International Association of Administrative Professionals', 'Professional', 'Professional Publishers Association', 'Dental Professionals Association', 'Association', 'Kyiv National University of Trade and Economics', 'International Association of Professional Numismatists', 'National Federation of Professional Workers', 'World Trade Center New Orleans', 'Voluntary association', 'Chartered Trading Standards Institute', 'Professional corporation', 'Futures Industry Association', 'National Association of Head Teachers', 'Professional certification in financial services', 'Atlantic slave trade', 'Trade Unions International of Public and Allied Employees', 'Trade finance', 'Public Service Association of NSW']","['220028', '12161725', '49005', '1982751', '4986138', '12600698', '1783374', '3012051', '37559797', '5321151', '52671297', '290809', '16710206', '9358866', '12315761', '18426388', '42666662', '19634656', '28831284', '9716326']"
344,Business & Industrial>Retail Trade,"['Retail', 'Retail foreign exchange trading', 'National Retail Federation', 'Domestic trade', 'Trade', 'Trade promotion', 'Retail clinic', 'Fair trade', 'Thorp Arch Trading Estate', 'Day trading', 'Energy Retail Association', 'Trade promotion management', 'Electronic trading platform', '3 World Trade Center', 'Kyiv National University of Trade and Economics', 'Trade dress', 'Day trader', 'Trade finance', 'Westfield Bondi Junction', 'Illegal drug trade']","['12798911', '1525533', '228796', '4614886', '21010744', '3405137', '49147', '218449', '37559797', '8797478', '183515', '7520989', '20593805', '12295684', '29678', '52225', '19634656', '36924979', '30286194', '5690348']"
345,Business & Industrial>Retail Trade>Retail Equipment & Technology,"['Retail', 'Dixons Retail', 'Personal protective equipment', 'Wincor Nixdorf', 'Clothing technology', 'Wacker Neuson', 'Optical disc recording technologies', 'Audiovisual', 'EuroShop', 'Mahindra Group', 'Kotsovolos', 'Quisisana', 'Hitachi', 'Intermec', 'Full Compass Systems', 'Avigilon', 'Chorus Limited', 'Consumer electronics', 'Al Rumaithy Establishment', 'Ellies Holdings Ltd']","['48679838', '11604823', '37130195', '37718343', '23889105', '189768', '985802', '42580009', '52961994', '32606468', '188676', '5159915', '7923660', '8786822', '3728036', '55530', '54307075', '183515', '17710850', '6159966']"
